Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
Lagoa Uri de Cima;?;3500;340;PE;3831;439;Salgueiro;24L;486012;9107670
Santa Elina;GIF-11124;3560;50;MT;3840;83;Jangada;21L;554672;8315348
Sambaqui da Tarioba ;LACUFF-13048;3561;53;RJ;3843;87;Rio das Ostras;24K;197373;7506232
Pedra do Cachorro;Beta-447239;3560;30;PE;3844;53;Buíque;24L;703071;9046155
Caverna da Pedra Pintada;n/a;3563;57;PA;3846;91;Monte Alegre;21M;828992;9807872
Caverna da Pedra Pintada;n/a;3563;68;PA;3848;103;Monte Alegre;21M;828992;9807872
RD-23;Bah-951;3550;150;ES;3850;204;Linhares;24K;388159;7856814
Sambaqui da Tarioba ;LACUFF-13030;3567;50;RJ;3851;83;Rio das Ostras;24K;197373;7506232
Toca da Esperança;GIF-7495;3570;60;BA;3855;94;Central;23L;815523;8767408
Sambaqui da Tarioba ;LACUFF-13031;3567;27;RJ;3865;39;Rio das Ostras;24K;197373;7506232
BU VIII (sigla de Bupeva?);Beta N. 452916;3570;30;SC;3870;44;São Francisco do Sul;22J;736834;7094708
Malhada;BETA-20017;3580;80;RJ;3873;119;Cabo Frio;23K;804645;7465895
CD1;Gif 11075;3580;50;MS;3874;77;Anaurilândia;22K;322657;7545771
Monte Castelo ;SI-6846;3580;105;RO ;3882;152;São Francisco do Guaporé;20L;438048;8666740
Sambaqui da Tarioba ;LACUFF-12047;3588;65;RJ;3882;98;Rio das Ostras;24K;197373;7506232
Lapa Vermelha IV;Gif-3210;3580;130;MG;3885;180;Lagoa Santa;23K;615358;7829153
Gruta da Capela (s11d47) PA-AT-337;Beta-380862;3590;30;PA;3897;47;Parauapebas;22M;623509;9327859
BR-AM-MC-43;SI-4283;3595;90;AM;3899;136;Manicoré;20M;689292;9358198
Bacanga;TL;3540;800;MA;3900;1000;São Luís;23M;582261;9718263
Lago do Jacare 1 PA00795;Beta-186957;3600;70;PA;3908;106;Cabana do Amorim;21M;696813;9686838
Santa Elina;GIF-8678;3600;60;MT;3909;84;Jangada;21L;554672;8315348
Panaquatira;TL/FATEC;3569;370;MA;3920;370;São Luis;23M;582261;9718263
N/A;Bah. 1288;3600;180;SC;3924;246;Araquari;22J;727539;7080381
Gruta do Gavião;Gx-12512;3605;160;PA;3925;220;Parauapebas;22M;623509;9327859
Almeida ;GIF;3600;160;SP;3926;217;Tejupá;22K;668967;7411120
Sambaqui da Tarioba ;Beta 335472;3620;30;RJ;3928;45;Rio das Ostras;24K;197373;7506232
Toca do Serrote das Moendas;USP;3603;180;PI;3928;246;São Raimundo Nonato;23L;753628;9002823
BR-8;Beta-221721;3610;70;MS;3929;104;Brasilândia;22K;392446;7649212
Porto Vieira 1;Beta 209710;3610;70;SC;3929;104;Jaguaruna;22J;693036;6832441
Sambaqui Ponta das Almas;I-2627;3620;100;SC;3932;144;Florianópolis;22J;742672;6945385
Coqueirinho;Beta 248886;3620;40;MG;3934;59;Matozinhos;23K;596454;7836861
Forte Marechal Luz ;M-1208;3618;130;SC;3934;185;São Francisco do Sul;22J;736834;7094708
Sambaqui do Moa;Bah-1762;3610;190;RJ;3940;260;Saquarema;23K;757766;7461667
Colorado do Oeste 2;Beta-382245;3630;30;RO ;3942;48;Colorado do Oeste;20L;766032;8548027
Ferraz Egreja;GIF-6248;3620;60;MT;3945;90;Rondonópolis ;21K;753108;8178076
Ferraz Egreja;Gif-6248;3620;60;MT;3945;90;Rondonópolis ;21K;753108;8178076
Gruta do Padre;CSIC 803;3630;70;PE;3955;100;Petrolândia;24L;585648;9009363
Itapoã II;Ba-364;3635;90;SP;3958;123;Iguape;23J;241209;7265115
Tambor;SI-710;3635;135;RJ;3958;192;Campos dos Goytacazes;24K;259681;7591404
Praia Grande I;Beta N. 452914;3640;30;SC;3968;63;São Francisco do Sul;22J;736834;7094708
Cubículo I;Beta 248576;3640;50;SC;3969;80;Jaguaruna;22J;689508;6838876
Sambaqui da Cabeçuda I;Beta 280005;3640;50;SC;3969;80;Laguna ;22J;717027;6848366
Sambaqui de Madressilva;Gif-10655;3640;50;RJ;3969;80;Saquarema;23K;757766;7461667
Santa Rosa;N/A;3600;480;SP;3975;621;Rio Claro;23K;235631;7519014
Chã do Caboclo;MC 1084;3650;115;PE;3981;161;Bom Jardim ;25M;215130;9136871
Ilha da Boa Vista IV;N/A;3650;40;RJ;3981;72;Cabo Frio;23K;804645;7465895
NV-5;Beta-210859;3650;40;PA;3981;72;Parauapebas;22M;623509;9327859
Céu Azul;Beta 615244;3650;30;PR;3982;66;São José dos Pinhais;22J;702345;7173415
Praia Grande I;Beta N. 452920;3650;30;SC;3982;66;São Francisco do Sul;22J;736834;7094708
Bastos;Beta 485418;3650;30;SP;3985;66;Dourado;22K;777446;7552456
Sambaqui da Tarioba ;LACUFF-13041;3654;32;RJ;3986;67;Rio das Ostras;24K;197373;7506232
Balneário Atlântico (RS-LN-319);Beta-263432;3660;40;RS;3990;70;Arroio do Sal;22J;607705;6730483
Bataguaçu 3;Gif 11236;3660;75;MS;3990;103;Bataguaçu;22K;352375;7597659
Lago do Jacare 1 PA00795;Beta-186956;3660;40;PA;3990;70;Cabana do Amorim;21M;696813;9686838
Lago do Jacare 1 PA00795;Beta-186955;3660;70;PA;3990;97;Cabana do Amorim;21M;696813;9686838
Pereirinha IV;CENA-477;3660;70;SP;3990;97;Cananeia;23J;204259;7230741
Sambaqui da Tarioba ;LACUFF-12043;3662;64;RJ;3991;90;Rio das Ostras;24K;197373;7506232
Sambaqui da Tarioba ;LACUFF-12048;3662;66;RJ;3991;92;Rio das Ostras;24K;197373;7506232
Sambaqui da Tarioba ;Beta 335467;3660;30;RJ;3992;65;Rio das Ostras;24K;197373;7506232
Lapa Vermelha IV;Gif-2734;3660;110;MG;3996;152;Lagoa Santa;23K;615358;7829153
Pedra do Dioguinho;Beta 524186;3660;30;SP;3996;64;Ribeirão Bonito;22K;791529;7557017
Forte Marechal Luz;M 1208;3660;130;SC;3998;185;São Francisco do Sul;22J;736864;7094946
Sambaqui da Tarioba ;Beta 335466;3670;30;RJ;4002;61;Rio das Ostras;24K;197373;7506232
Estreito;KIA 20845;3665;26;SP;4004;60;Itaoca;22J;718679;7273028
Ilha da Boa Vista II;Beta-94622;3670;80;RJ;4005;111;Cabo Frio;23K;804645;7465895
Urua;Gx 2475;3665;160;PA;4005;227;Salgado;23M;237990;9931211
Sambaqui do Macedo;n/a;3677;61;PR;4009;88;Paranaguá;22J;748702;7174547
Ilha da Boa Vista IV;Beta-151849;3680;40;RJ;4010;65;Cabo Frio;23K;804645;7465895
Zenóbio;Beta-186960;3680;50;PA;4011;76;Cabana do Amorim;21M;701050;9690388
Sambaqui do Macedo;Bah-1265;3670;180;PR;4016;254;Paranaguá;22J;748702;7174547
Rezende;CENA;3680;100;MG;4023;140;Centralina;22K;690223;7943584
Estaleiro;Bah- 367;3690;60;SP;4026;89;Iguape;23J;241209;7265115
Jacó Sá;Beta-355558;3690;30;AC;4027;51;Senador Guiomard;19L;638227;8878163
Santa Elina;GIF-7085;3690;70;MT;4028;101;Jangada;21L;554672;8315348
Sambaqui da Tarioba ;LACUFF-12045;3692;68;RJ;4030;98;Rio das Ostras;24K;197373;7506232
Céu Azul;Beta 615243;3700;30;PR;4038;51;São José dos Pinhais;22J;702345;7173415
Monte Castelo ;Beta-408413;3700;30;RO ;4038;51;São Francisco do Guaporé;20L;438048;8666740
Sambaqui Ponta das Almas;SI-223;3690;100;SC;4039;143;Florianópolis;22J;742672;6945385
Pereirinha IV;CENA-478;3700;70;SP;4041;101;Cananeia;23J;204259;7230741
Rio das Pedrinhas;N/A;3690;160;RJ;4043;225;Guapimirim;23K;707433;7506698
Samambaia;Bah-1287;3690;190;SC;4044;267;Laguna;22J;717027;6848366
Vermelhos ;Gif-11433;3705;35;MT;4045;58;Rondonópolis ;21K;753108;8178076
Sambaqui da Tarioba ;LACUFF-12046;3710;68;RJ;4055;99;Rio das Ostras;24K;197373;7506232
Figueirinha II;Beta 384038;3720;30;SC;4060;60;Jaguaruna;22J;698387;682806
Sambaqui da Tarioba ;Beta-335464;3720;30;RJ;4060;60;Rio das Ostras;24K;197373;7506232
Sampaio 1;Beta-259891;3720;40;RJ;4062;67;Guapimirim ;23K;707433;7506698
Jacó Sá;OxA-29509;3728;27;AC;4067;62;Senador Guiomard;19L;638227;8878163
Céu Azul;SI-1575;3705;130;PR;4069;183;São José dos Pinhais;22J;702345;7173415
Sambaqui da Tarioba ;LACUFF-13038;3729;35;RJ;4069;65;Rio das Ostras;24K;197373;7506232
Cananeia;Bah 445;3710;140;SP;4072;198;Cananeia;23J;204259;7230741
Sampaio 1;Beta - 259892;3730;40;RJ;4072;69;Guapimirim;23K;707433;7506698
Caverna da Pedra Pintada;n/a;3725;57;PA;4073;86;Monte Alegre;21M;828992;9807872
Sambaqui da Tarioba ;Beta 335471;3740;30;RJ;4078;64;Rio das Ostras;24K;197373;7506232
Corondó;SI-2782;3720;90;RJ;4079;134;São Pedro da Aldeia;23K;797405;7470810
Sambaqui da Tarioba ;LACUFF-13033;3743;26;RJ;4081;62;Rio das Ostras;24K;197373;7506232
Malhada;SI-4485;3725;75;RJ;4083;114;Cabo Frio;23K;804645;7465895
Lapa Vermelha IV;Gif-2545;3720;120;MG;4084;173;Lagoa Santa;23K;615358;7829153
RS-S-327;Beta 160846;3730;60;RS;4089;94;Santo Antonio da Patrulha;22J;545747;6699710
Bacanga;TL;3705;800;MA;4100;1000;São Luís;23M;582261;9718263
Camboinhas;SPC/USP-212;4475;160;RJ;4102;148;Niterói;23K;692906;7467471
Pântano do Sul;n/a;3735;100;SC;4102;148;Florianópolis ;22J;742672;6945385
SC-F-10 (Pântano do Sul);I-9213;3735;100;SC;4102;148;Florianópolis;22J;742672;6945385
Mirim PA-AT-285;Beta-171599;3750;50;PA;4106;91;Bom Jesus do Tocantins;22M;771046;9475639
Sambaqui da Tarioba ;LACUFF-13029;3747;62;RJ;4107;102;Rio das Ostras;24K;197373;7506232
Ilha da Boa Vista IV;Beta-94624;3740;110;RJ;4110;162;Cabo Frio;23K;804645;7465895
Lapa Vermelha IV;Gif-2733;3740;110;MG;4110;162;Lagoa Santa;23K;615358;7829153
Ilha da Boa Vista IV;PLID 0689;3740;160;RJ;4112;224;Cabo Frio;23K;804645;7465895
Buracão  do Laranjal;Beta-30746;3750;110;AP;4125;163;Laranjal do Jari;22M;398341;9953412
Lapa Vermelha IV;Gif-3209;3750;110;MG;4125;163;Lagoa Santa;23K;615358;7829153
RO-RO-01 (Vilhena I);SI-2761;3750;110;RO ;4125;163;Vilhena;20L;812599;8589874
RO-JI-23A;N/A;3760;70;RO ;4127;114;Ji-Paraná;20L;617072;8796232
Sambaqui de Jaconé ;CENA-340;3760;70;RJ;4127;114;Saquarema;23K;757766;7461667
Boca da Barra;Beta - 83827;3760;180;RJ;4136;247;Saquarema;23K;757766;7461667
Pereirinha IV;CENA-479;3770;70;SP;4141;117;Cananeia;23J;204259;7230741
Santa Helena ;SPC-117;3745;410;SP;4150;541;Cubatão ;23K;354762;7356997
Gruta do Gentio (MG-RP-6);SI-2788;3772;154;MG;4151;215;Unaí;23K;296834;8190168
Capivari I;Beta 209705;3780;40;SC;4155;67;Tubarão;22J;693903;6848062
Sambaqui da Tarioba ;Beta 335469;3780;40;RJ;4155;67;Rio das Ostras;24K;197373;7506232
Toca do Pica-Pau;Beta-207865;3780;40;PI;4155;67;São Raimundo Nonato;23L;753628;9002823
A 132;Bah- 345;3775;130;SP;4157;186;Iguape;23J;241209;7265115
Garopaba do Sul;CENA LS-25;3780;70;SC;4158;119;Jaguaruna;22J;693036;6832441
Garopaba do Sul;CENA LS-27;3780;70;SC;4158;119;Jaguaruna;22J;693036;6832441
Sambaqui da Balsinha;GIF-6169;3780;90;SC;4162;144;Imbituba;22J;729134;6873875
Cananeia;Bah 630;3780;110;SP;4164;165;Cananeia;23J;204259;7230741
Figueirinha II;UGAMS 18540;3790;25;SC;4165;54;Jaguaruna;22J;698387;682806
Coqueirinho;Beta 248885;3790;40;MG;4168;67;Matozinhos;23K;596454;7836861
Ararapira I;Gif. 3437;3790;110;SP;4175;165;Iguape;23J;241209;7265115
Branco;GIF 3437;3790;110;SP;4175;165;Cananeia;23J;204259;7230741
Cosipa 3 ;Gif-6780;3790;110;SP;4175;165;Cubatão ;23K;354762;7356997
Fosfasa 2;N/A;3790;110;SP;4175;165;Iguape;23J;241209;7265115
Amourins;Beta-259890;3800;40;RJ;4184;70;Guapimirim;23K;707433;7506698
Jurerê IV;N/A;3800;100;SC;4188;155;Biguaçu;22J;731963;6955253
Ilha Rasa II;Bah-1391;3800;190;PR;4190;262;Guaraqueçaba;22J;769602;7199305
Sambaqui da Beirada;Bah-1765;3800;190;RJ;4190;262;Saquarema;23K;757766;7461667
Sambaqui da Tarioba ;LACUFF-13039;3800;49;RJ;4191;85;Rio das Ostras;24K;197373;7506232
Santa Marta I;Beta 270322;3800;50;SC;4192;87;Laguna;22J;712151;6834091
SC-PRV-01;CAMS-42120;3800;50;SC;4192;87;Florianópolis;22J;742672;6945385
Sambaqui da Carniça VI;Beta 248568;3800;80;SC;4194;131;Laguna ;22J;717027;6848366
Sambaqui da Tarioba ;Beta 335468;3810;30;RJ;4195;53;Rio das Ostras;24K;197373;7506232
Lago do Jacare 1 PA00795;Beta-186952;3800;70;PA;4197;117;Cabana do Amorim;21M;696813;9686838
Toca do Baixão da Perna I;GIF-7376;3800;70;PI;4197;117;São Raimundo Nonato;23L;753628;9002823
Praia das Laranjeiras I;SI-10893;3815;120;SC;4202;173;Balneário Camboriú;22J;734391;7011195
Sambaqui da Tarioba ;Beta 335473;3810;40;RJ;4204;73;Rio das Ostras;24K;197373;7506232
Lapa do Santo;Beta 202766;3810;50;MG;4210;91;Matozinhos;23K;596454;7836861
Sambaqui do Moa;GX-31826;3810;50;RJ;4210;91;Saquarema;23K;757766;7461667
Sambaqui Manitiba I;CENA-325;3810;70;RJ;4212;116;Saquarema;23K;757766;7461667
Lapa do Santo;Beta 202765;3820;100;MG;4214;149;Matozinhos;23K;596454;7836861
Sambaqui do Forte;Ly-8466;3815;50;RJ;4219;92;Saquarema;23K;757766;7461667
Suruaca 20;LACUFF-160270;3829;25;ES;4223;57;Linhares;24K;388159;7856814
Sambaqui da Tarioba ;Beta 335474;3820;40;RJ;4224;76;Rio das Ostras;24K;197373;7506232
Alto Sucuriú 4;Beta 284375;3820;50;MS;4229;93;Água Clara;22K;303990;7738594
Santa Elina;GIF-7378;3830;90;MT;4230;134;Jangada;21L;554672;8315348
Ilha Rasa I;Bah-1390;3830;190;PR;4232;264;Guaraqueçaba;22J;769602;7199305
Toca da Esperança;GIF-7300;3820;340;BA;4235;461;Central;23L;815523;8767408
A 125;Bah- 306;3840;100;SP;4238;142;Iguape;23J;241209;7265115
Lapa das Boleiras;Beta 159235;3830;60;MG;4242;103;Matozinhos;23K;596454;7836861
Lapa do Santo;Beta 183570 ;3830;40;MG;4243;83;Matozinhos;23K;596454;7836861
Paraíso;Bah-1596;3840;180;BA;4244;252;Rodelas;24L;525639;9022157
Pântano do sul;N/A;3850;105;SC;4248;146;Florianópolis;22J;742672;6945385
SC-F-10 (Pântano do Sul);I-9216;3850;105;SC;4248;146;Florianópolis;22J;742672;6945385
Ilha da Boa Vista IV;Beta-151848;3850;140;RJ;4250;198;Cabo Frio;23K;804645;7465895
Gruta da Capela (s11d47) PA-AT-337;Beta-410476;3840;30;PA;4253;77;Parauapebas;22M;623509;9327859
Garopaba do Sul II;Beta 262747;3840;60;SC;4254;101;Jaguaruna;22J;704790;6831925
Encontro;Beta-230197;3850;80;RO ;4256;118;Ministro Andreazza;20L;661893;8761791
RO-MA-5 (Encontro);Beta-230197;3850;80;RO ;4256;118;Ministro Andreazza;20L;661893;8761791
Indio;UFMG 2270;3860;107;MG;4260;148;Santana do Riacho;23K;635062;7879841
N/A;Bah. 1287;3850;200;SC;4260;279;Araquari;22J;727539;7080381
Mirindiba 7;Beta 200496;3850;60;TO;4264;99;Lajeado;22L;789924;8920712
Figueirinha IV;UGAMS 18542;3850;25;SC;4268;77;Jaguaruna;22J;693036;6832441
Sambaqui de Saquarema;P-586;3858;60;PR;4271;98;Morretes;22J;718082;7180186
Sambaqui da Tarioba ;LACUFF-13035;3852;31;RJ;4272;81;Rio das Ostras;24K;197373;7506232
Abrigo Roncador;Beta 469080;3850;30;SP;4273;81;Analândia;23K;225151;7550751
A 46;Bah- 289;3870;110;SP;4274;152;Iguape;23J;241209;7265115
Ubatuba (A46);Ba-294;3870;100;SP;4274;138;Iguape;23J;241209;7265115
Maratuá;I-9185;3865;65;SP;4276;101;Guarujá;23K;372387;73345842
Sambaqui da Tarioba ;Beta 335465;3860;40;RJ;4280;84;Rio das Ostras;24K;197373;7506232
Lapa do Dragão;Beta 133483;3870;60;MG;4282;96;Montalvânia;23L;568199;8405499
Sambaqui da Carniça II;N/A;3875;125;SC;4286;177;Laguna ;22J;717027;6848366
PE-91-Mxa;BaH 1252;3870;200;PE;4288;283;Buíque;24L;703071;9046155
Justino;LabDat/UFS;3865;398;SE;4289;525;Canindé de São Francisco;24L;632878;8931713
Sambaqui da Cabeçuda I;Beta 280009;3870;40;SC;4294;78;Laguna ;22J;717027;6848366
Figueirinha IV;Beta 384037;3870;30;SC;4304;67;Jaguaruna;22J;693036;6832441
Praia Grande III;Beta N. 452912;3870;30;SC;4304;67;São Francisco do Sul;22J;736834;7094708
Sambaqui de Saquarema;P-586;3900;70;PR;4312;101;Morretes;22J;718082;7180186
Sambaqui Manitiba I;CENA-323;3900;70;RJ;4312;101;Saquarema;23K;757766;7461667
Itapoã I;N/A;3900;100;SP;4317;144;Iguape ;23J;241209;7265115
Mombaça I;Beta 218847;3900;50;RJ;4320;75;Saquarema;23K;757766;7461667
Encontro;Beta-230198;3910;70;RO ;4327;100;Ministro Andreazza;20L;661893;8761791
Sambaqui da Tarioba ;Beta 335470;3910;30;RJ;4339;55;Rio das Ostras;24K;197373;7506232
Brocuanha I;SPC-116;3900;450;SP;4341;593;Cananeia;23J;204259;7230741
MS-CP-16;Beta-72201;3920;60;MS (Pantanal);4342;88;Corumbá;21K;431871;7898164
Bastos;Beta 485417;3910;30;SP;4344;54;Dourado;22K;777446;7552456
Enseada 18;N/A;3920;40;SC;4345;64;Florianópolis;22J;742672;6945385
Monte Castelo ;SI-6847;3920;85;RO ;4345;127;São Francisco do Guaporé;20L;438048;8666740
Prainha II;I-9976;3920;100;SP;4345;148;Cananeia;23J;204259;7230741
Brito;GIF-6254;3920;60;SP;4347;86;Sarutaiá;22K;656158;7425139
Praia Grande IV;Beta N. 453208;3920;30;SC;4348;55;São Francisco do Sul;22J;736834;7094708
Figueirinha IV;UGAMS 18548;3920;25;SC;4350;52;Jaguaruna;22J;693036;6832441
Lapa do Santo;Beta 216517;3930;40;MG;4358;67;Matozinhos;23K;596454;7836861
Encantada I;Beta 262743;3930;60;SC;4359;93;Jaguaruna;22J;703768;6830622
Barra Velha;Bah. 1272;3920;190;PR;4360;274;Guaratuba;22J;742817;7134738
Maratuá;Bah-382;3925;145;SP;4365;214;Guarujá;23K;372387;73345842
RO-PN-13;SI-6851;3935;105;RO ;4367;155;São Francisco do Guaporé;20L;438048;8666740
Sambaqui do Forte;Bah;3930;140;RJ;4372;208;Cabo Frio;23K;804645;7465895
Brasilândia 3/ MS-PR-42;Gif 11233;3940;40;MS;4376;74;Brasilândia;22K;392446;7649212
MS-CP-16;Beta-72220;3940;60;MS (Pantanal);4376;98;Corumbá;21K;431871;7898164
Encantada I;Beta 276435;3940;50;SC;4377;87;Jaguaruna;22J;703768;6830622
Sambaqui Manitiba I;CENA-322;3940;50;RJ;4377;87;Saquarema;23K;757766;7461667
Monte Castelo ;S-I6845;3945;110;RO ;4387;166;São Francisco do Guaporé;20L;438048;8666740
Sambaqui do Forte;BAH-;3940;140;RJ;4387;211;Cabo Frio;23K;804645;7465895
Lapa do Santo;Beta 243393;3950;40;MG;4397;83;Matozinhos;23K;596454;7836861
Pedra Pintada RR;Beta-30745;3950;180;RR;4403;264;Pedra Pintada;20N;733701;429010
Tapera I;Ba-291;3960;90;SP;4404;136;Cananeia;23J;204259;7230741
Sambaqui de Saquarema;P538;3965;66;PR;4406;103;Morretes;22J;718082;7180186
Etelvina ;I-10745;3960;100;SP;4409;153;Iguape ;23J;241209;7265115
Lapa do Santo;Beta 214129;3960;40;MG;4412;79;Matozinhos;23K;596454;7836861
RO-MA-5 (Encontro);Beta-230198;3970;70;RO ;4413;107;Ministro Andreazza;20L;661893;8761791
Sambaqui Manitiba I;CENA-324;3970;70;RJ;4413;107;Saquarema;23K;757766;7461667
Santa Elina;GIF-7379;3970;60;MT;4413;95;Jangada;21L;554672;8315348
Sambaqui do Moa;Bah-1763;3960;200;RJ;4414;288;Saquarema;23K;757766;7461667
Toca do Alto da Serra do Capim;Beta-253370;3970;50;PI;4418;82;Gilbués;23L;462879;8913504
Santa Elina;GIF-7882;3980;70;MT;4429;108;Jangada;21L;554672;8315348
Jaguaruna III;Beta 280016;3980;50;SC;4436;72;Jaguaruna;22J;693036;6832441
RS-S-327;Beta 160849;3970;40;RS;4436;64;Santo Antonio da Patrulha;22J;545747;6699710
Figueirinha IV;UGAMS 18544;3960;25;SC;4439;53;Jaguaruna;22J;693036;6832441
Tambor;SI-711;3975;160;RJ;4439;242;Campos dos Goytacazes;24K;259681;7591404
Sambaqui da Tarioba ;LACUFF-13042;3968;31;RJ;4445;52;Rio das Ostras;24K;197373;7506232
Abrigo Santana do Riacho;GIF-4510;3990;70;MG;4450;109;Santana do Riacho;23K;635062;7879841
RO-JI-17;N/A;3990;70;RO ;4450;109;Ji-Paraná;20L;617072;8796232
Sambaqui da Tarioba ;LACUFF-13043;3979;35;RJ;4454;48;Rio das Ostras;24K;197373;7506232
Tatupeva;Beta 184623;3990;70;SP;4457;109;Itaoca;22J;718679;7273028
Cabeças 4;Beta 370289;3980;30;MG;4458;45;Felício dos Santos;23K;685454;8000328
Praia Grande IV;Beta N. 446684;3980;30;SC;4458;45;São Francisco do Sul;22J;736834;7094708
Jaracuçu 9;UFMG 1301;3990;40;MG;4461;48;Santana do Riacho;23K;635062;7879841
Severino Calazans;Ua-37237;3990;40;AC;4461;48;Senador Guiomard;19L;638227;8878163
Cemitério;Bah. 1394;3999;200;SC;4462;285;Imbituba;22J;729134;6873875
Caverna da Pedra Pintada;Beta- 475219;3990;30;PA;4464;42;Monte Alegre;21M;828992;9807872
Figueirinha IV;UGAMS 18543;3990;25;SC;4464;41;Jaguaruna;22J;693036;6832441
Figueirinha IV;UGAMS 18549;3990;25;SC;4464;41;Jaguaruna;22J;693036;6832441
AR2;Gif 11071;3995;50;MS;4465;60;Anaurilândia;22K;322657;7545771
Alcobaça;CSIC 1632;4000;28;PE;4468;40;Buíque;24L;703071;9046155
Figueirinha IV;UGAMS 18546;4000;25;SC;4468;39;Jaguaruna;22J;693036;6832441
Figueirinha IV;UGAMS 18547;4000;25;SC;4468;39;Jaguaruna;22J;693036;6832441
Jabuticabeira I;Az 10640;3995;85;SC;4468;141;Jaguaruna;22J;697334;6837666
Figueirinha IV;UGAMS 18545;4010;25;SC;4471;38;Jaguaruna;22J;693036;6832441
Santa Marta III;Beta 276440;4000;50;SC;4471;59;Laguna;22J;712935;6834898
Cabeças 4;Beta 370291;4010;40;MG;4478;48;Felício dos Santos;23K;685454;8000328
SC-PRV-01;CAMS-42114;4010;50;SC;4486;63;Florianópolis;22J;742672;6945385
Lapa do Santo;Beta 183574 ;4010;130;MG;4496;207;Matozinhos;23K;596454;7836861
Cipoal do Araticum PA-OR-127;Beta-330927;4040;30;PA;4499;54;Porto Trombetas;21M;569275;9837530
Sambaqui da Tarioba ;LACUFF-13034;4043;26;RJ;4499;52;Rio das Ostras;24K;197373;7506232
Morro do Ouro;Beta-93152;4030;40;SC;4500;59;Joinville;22J;714820;7088655
Sambaqui da Cabeçuda I;Beta 280007;4020;50;SC;4500;68;Laguna ;22J;717027;6848366
A 58;N/A;4010;110;SP;4502;185;Iguape;23J;241209;7265115
Cipoal do Araticum PA-OR-127;Beta-330925;4050;30;PA;4513;61;Porto Trombetas;21M;569275;9837530
PR-FI-43;SI-5044;4035;150;PR;4524;223;Foz do Iguaçu;21J;744414;7175482
Lapa dos Bichos;Beta 100399;4020;70;MG;4525;111;Januária;23L;567715;8288668
Malhada;SI-3861;4020;80;RJ;4531;135;Cabo Frio;23K;804645;7465895
Santa Marta III;Beta 276439;4040;50;SC;4533;86;Laguna;22J;712935;6834898
Conquista B ;n/a;4070;220;SC;4543;296;Joinville;22J;714820;7088655
Sambaqui Manitiba I;CENA-328;4030;70;RJ;4547;120;Saquarema;23K;757766;7461667
Lapa do Dragão;Beta 133484;4040;60;MG;4555;111;Montalvânia;23L;568199;8405499
Santa Marta IIIB;Beta 262742;4040;60;SC;4555;111;Laguna;22J;712935;6834898
Toca do Serrote das Moendas;USP;4076;180;PI;4555;245;São Raimundo Nonato;23L;753628;9002823
Batatal I;SPC-118;4075;500;SP;4560;656;Cananeia;23J;204259;7230741
SC-PRV-01;CAMS-4853;4050;60;SC;4573;120;Florianópolis;22J;742672;6945385
Sambaqui de Saquarema;P-536;4050;70;PR;4581;133;Morretes;22J;718082;7180186
Sambaqui de Saquarema;N/A;4056;73;PR;4591;139;Morretes;22J;718082;7180186
São João;SI-1021;4070;105;PR;4594;159;Antonina;22J;729967;7185138
Vapumauva I ;Ba-362;4070;100;SP;4597;156;Iguape ;23J;241209;7265115
Lagoa dos Bichos II;Beta 234204;4070;50;SC;4602;127;Laguna ;22J;716199;6841350
Lagoa dos Bichos II;Beta 234204;4070;50;SC;4602;127;Laguna;22J;716397;6840672
Lapa do Santo;Beta 216521;4070;60;MG;4607;135;Matozinhos;23K;596454;7836861
Sambaqui de Saquarema;N/A;4071;73;PR;4608;141;Morretes;22J;718082;7180186
PR-FI-49;SI-5045;4065;75;PR;4609;143;Guaíra;22J;778801;7333593
Itapoã I;N/A;4095;110;SP;4612;157;Iguape;23J;241209;7265115
Cipoal do Araticum PA-OR-127;Beta-330926;4080;30;PA;4614;98;Porto Trombetas;21M;569275;9837530
Ponta das pedras;SI-1031;4090;95;PA;4615;148;Salgado;23M;237990;9931211
Sambaqui Ponta das Pedras;SI-1031;4090;90;PA;4618;145;Quatipuru;23M;276809;9900748
Sambaqui da Cabeçuda I;Hv-167;4120;220;SC;4621;306;Laguna ;22J;717027;6848366
Sambaqui de Saquarema;P-538;4084;68;PR;4622;135;Morretes;22J;718082;7180186
Guaraguaçu B;N/A;4118;260;PR;4624;365;Pontal do Paraná;22J;752861;7154881
Panaquatira;TL/FATEC;4165;790;MA;4630;790;São Luis;23M;582261;9718263
Guaraguaçu B;GIF-79;4128;134;PR;4631;171;Paranaguá;22J;748702;7174547
RO-PV-48;Beta-27406;4130;160;RO ;4631;202;Ji-Paraná;20L;617072;8796232
Condomínio do Atalaia;Beta - 95559;4120;110;RJ;4632;150;Arraial do Cabo;23K;805133;7456431
Operário ;Beta 326083;4080;40;SC;4636;122;Ibirama;22J;646847;7005959
Santa Marta III;Beta 276438;4090;50;SC;4637;121;Laguna;22J;712935;6834898
Boguaçu II;GIF-3436;4120;100;SP;4638;141;Iguape;23J;241209;7265115
GO-CP-05;SI-6741;4100;65;GO;4641;124;Palestina de Goiás;22K;443750;8148739
Garopaba do Sul III;Beta 262748;4100;60;SC;4643;121;Jaguaruna;22J;703962;6832223
Garopaba do Sul;CENA LS-28;4110;70;SC;4647;122;Jaguaruna;22J;693036;6832441
