Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
PE-86-Cm;BaH 1084-A;225;150;PE;240;174;São Lourenço da Mata;25L;277330;9114444
RS-T-114;Beta 367375;240;30;RS;241;82;Marques de Souza;22J;393478;6755391
Cangas I;Datação 4540;235;40;GO;244;40;Aruanã;22K;491888;8350833
RS-VZ-41 (Comandaí);SI-701;225;55;RS;244;114;Tenente Portela;22J;227359;6969400
Córrego Azul 1 - AZ1;FATEC 191;240;15;MS;245;15;Brasilândia;22K;392446;7649212
PR-FI-22;SI-5015;230;80;PR;247;147;Foz do Iguaçu;21J;744414;7175482
Bataguaçu 4/ MS-PD-06;FATEC 405;250;25;MS;250;25;Bataguaçu;22K;352375;7597659
MT-PO-68;TL - Fatec;250;25;MT (Pantanal);250;25;Poconé;21K;539974;8201533
Toca dos Coqueiros;LY 7481;235;50;PI;254;113;Coronel José Dias;23L;777297;9023432
U-377;N/A;230;50;RS;256;112;Machadinho;22J;434211;6950843
SC-MG-01;N/A;230;60;SC;257;126;Major Gercino;22J;702421;6965573
Toca da Barra do Antonião;GIF-8671;240;40;PI;257;102;São Raimundo Nonato;23L;753628;9002823
PA-AT-274;TL;251;25;PA;260;25;Canaã dos Carajás;22M;626972;9278040
PE-48-Mxa;BaH 1088-A;270;150;PE;266;176;Buíque;24L;703071;9046155
Areia Branca 5;LDV 297 - TL;249;30;SP;270;60;Itapeva;22K;715802;7345928
Chã do Caboclo;GIF-1628;257;90;PE;270;146;Bom Jardim ;25M;215130;9136871
PR-UV-12 ;SI-692;255;100;PR;270;151;Bituruna;22J;444816;7106328
PR-UV-12 (Catanduva);SI-692;255;100;PR;270;151;Bituruna;22J;444816;7106328
SC-U-54;SI-546;250;90;SC;270;146;São Carlos;22J;301122;7003286
Santa Rita do Pardo 2/ MS-PD-07;FATEC 188;249;20;MS;275;20;Santa Rita do Pardo;22K;310125;7643038
Ribeirão Taquari 2/ MS-PR-46;FATEC 192;245;15;MS;280;15;Brasilândia;22K;392446;7649212
PR-FI-97;SI-5017;255;80;PR;282;136;Foz do Iguaçu;21J;744414;7175482
Cangas I;Datação 4542;250;40;GO;284;40;Aruanã;22K;491888;8350833
RS-AN-3;Beta 178134;250;50;RS;287;121;Bom Jesus;22J;555456;6828282
RS-MJ-71;SI-2199;265;90;RS;287;140;Dona Francisca;22J;271759;6720579
Chã do Caboclo;MC 1054;270;85;PE;288;137;Bom Jardim ;25M;215130;9136871
Córrego São Lourenço 1/ MS-PR-26;FATEC 123;255;30;MS;290;30;Bataguaçu;22K;352375;7597659
RS-A-27;LVD 621;255;20;RS;298;30;Vacaria;22J;506338;6846729
Ribeirão Quiterói/ MS-PR-08;FATEC 95;265;50;MS;300;50;Bataguaçu;22K;352375;7597659
RS-T-114;Beta388514;260;30;RS;301;111;Marques de Souza;22J;393478;6755391
PR-FL-5;SI-693;300;115;PR;305;148;Paraíso do Norte;22K;335814;7424367
Torre de Pedra ;GIF-10041;270;60;SP;307;119;Iporanga;22J;743452;7278831
SC-VI-10;SI-536;290;80;SC;318;124;Canoinhas;22J;560399;7104566
PE-137-Bga;BaH 1331;340;150;PE;319;167;Araripina;24M;334722;9162164
Angico (2);MC 1035;300;85;PE;320;125;Bom Jardim ;25M;215130;9136871
Pedra do Caboclo;MC 1024;300;85;PE;320;125;Bom Jardim ;25M;215130;9136871
Ribeirão Quiterói/ MS-PR-08;FATEC 94;261;35;MS;320;35;Bataguaçu;22K;352375;7597659
Chã do Caboclo;MC 1088;295;75;PE;327;113;Bom Jardim ;25M;215130;9136871
Chã do Caboclo;MC 1083;330;110;PE;329;137;Bom Jardim ;25M;215130;9136871
Nogueira;OxA-3324;257;26;PA;329;63;Altamira;22M;365167;9645100
Fazendinha;Fatec 1672;266;42;MT;330;42;Rondonópolis ;21K;753108;8178076
Água Limpa;TL / FATEC;263;35;SP;335;35;Monte Alto;22K;759685;7646404
RS-A-27;LVD 627;262;20;RS;336;31;Vacaria;22J;506338;6846729
Indaiá;TL/FATEC;264;35;SP;340;35;Ibirarema;22K;595093;7476848
Mata da Figueira;TL/FATEC;264;35;SP;340;35;Candido Mota;22K;563080;7484064
Pajeú;TL/FATEC;264;35;SP;340;35;Candido Mota;22K;563080;7484064
Poço Grande;LVD 877;264;35;SC;340;35;Joinville;22J;714820;7088655
Chã do Caboclo;MC 1082;360;135;PE;341;152;Bom Jardim ;25M;215130;9136871
Cabeças 4;Beta 310324;270;20;MG;347;59;Felício dos Santos;23K;685454;8000328
Itanguá 2;Beta 310324;270;20;MG;347;59;Diamantina;23K;647928;7982069
Gruta do Marinheiro;Beta 337000;270;30;MG;349;63;Pains;23K;430935;7747043
Córrego Caraguatá/ MS-PR-28;FATEC 116;273;35;MS;350;35;Bataguaçu;22K;352375;7597659
Córrego da Moeda;FATEC 87;272;35;MS;350;35;Três Lagoas;22K;427308;7701084
Lagoa do Custódio 1/MS-IV-08;FATEC 136;275;40;MS;350;40;Anaurilândia;22K;322657;7545771
Ribeirão Quiterói/ MS-PR-08;FATEC 96;272;30;MS;350;30;Bataguaçu;22K;352375;7597659
Santa Elina;GIF-8890;275;40;MT;352;66;Jangada;21L;554672;8315348
RS-LC-80;Beta-202366;280;50;RS;353;72;Palmares do Sul;22J;547032;6652340
RS-LC-80;Beta 202366;280;50;RS;357;72;Palmares do Sul;22J;547032;6652340
Baggio 1;Beta 414080;280;30;SC;362;61;Campo Belo do Sul;22J;523684;6913713
PR-SA-44;N/A;290;50;PR;367;67;Ortigueira;22J;507424;7322813
Brasilândia 11/ MS-PR-57;Beta 221722;300;60;MS;368;72;Brasilândia;22K;392446;7649212
Panema;N/A;290;40;SP;369;60;Campina do Monte Alegre;22K;757359;7388652
Lagoa Ariranha 1/ MS-PR-22;FATEC 185/;305;20;MS;370;20;Rio Pardo;22K;310125;7643038
Amapá;Beta-324176;300;30;PA;371;54;Santarém;21M;753116;9730567
Lapa Vermelha IV;n/a;300;50;MG;372;64;Lagoa Santa;23K;615358;7829153
RS-MJ-50a ;SI-818;345;105;RS;372;105;Santa Maria;22J;227566;6711719
São Pedro do Sul;Beta 214145 ;300;40;RS;372;59;São Pedro do Sul;21J;772662;6720026
Abrigo do Sol MT-GU-01;N-2357;315;70;MT;375;76;Vila Bela Santissima Trindade;21L;182663;8338894
Água Limpa;TL / FATEC;304;40;SP;375;40;Monte Alto;22K;759685;7646404
Bupeva II;LVD 878;305;40;SC;375;40;São Francisco do Sul;22J;736834;7094708
CD1;FATEC 151;304;45;MS;375;45;Anaurilândia;22K;322657;7545771
Mendes 2;CEN 1182;330;85;MG;375;86;Felício dos Santos;23K;685454;8000328
Xaxim (SC);SI-597;330;90;SC;375;90;Itapiranga;22J;231061;6992332
Baggio 1;Beta 414087;300;30;SC;376;52;Campo Belo do Sul;22J;523684;6913713
RS-T-114;Beta 303993;300;30;RS;376;52;Marques de Souza;22J;393478;6755391
SC-AB-93C;Beta 190298;300;40;SC;376;58;Abdon Batista;22J;497448;6946117
Tobias Wagner;Beta 410430;300;30;SC;376;52;Alfredo Wagner;22J;664241;6934789
BA-RG-19;SI-820;314;65;BA;377;72;Ituaçú;24L;251446;8471842
Lapa Pintada III;Beta 72237;310;50;MG;378;63;Montes Claros;23K;621649;8150075
Brasilândia 11/ MS-PR-57/ BR11 (T3/10-20);FATEC 264;316;40;MS;380;40;Brasilândia;22K;392446;7649212
Córrego São Lourenço 1/ MS-PR-26;FATEC 122;316;40;MS;380;40;Bataguaçu;22K;352375;7597659
Ribeirão Quiterói/ MS-PR-09;FATEC 106;316;40;MS;380;40;Bataguaçu;22K;352375;7597659
